Email,Hotel Name,Contact Name,Address,City,State,Zip Code,Country,Priority Level,Notes
john.smith@grandhotel.com,Grand Hotel Washington,John Smith,123 Main Street,Washington,DC,20001,USA,high,Inquired about government lodging programs - March 2024
sarah.j@marriott.com,Marriott Pentagon City,Sarah Johnson,100 Pentagon Plaza,Arlington,VA,22202,USA,high,Responded to initial outreach - very interested
mchen@embassysuites.com,Embassy Suites Bethesda,Michael Chen,4300 Military Road,Bethesda,MD,20814,USA,normal,Past email exchange about federal contracts
l.martinez@hilton.com,Hilton Crystal City,Lisa Martinez,2399 Jefferson Davis Hwy,Arlington,VA,22202,USA,high,Warm lead - wants info when launched
dthompson@marriott.com,Courtyard by Marriott Arlington,David Thompson,1533 Clarendon Blvd,Arlington,VA,22209,USA,normal,Initial inquiry in 2024
arodriguez@ihg.com,Holiday Inn Express Arlington,Amanda Rodriguez,1850 Fort Myer Drive,Arlington,VA,22209,USA,normal,Email contact from conference
r.williams@marriott.com,Residence Inn Alexandria,Robert Williams,2345 Mill Road,Alexandria,VA,22314,USA,high,Multiple exchanges - very interested
jlee@marriott.com,SpringHill Suites Alexandria,Jennifer Lee,1628 Richmond Highway,Alexandria,VA,22303,USA,normal,New contact - needs follow-up
cgarcia@hilton.com,Hampton Inn National Harbor,Carlos Garcia,250 Waterfront Street,National Harbor,MD,20745,USA,high,Hot lead - asked to be notified at launch
pbrown@hyatt.com,Hyatt Regency Reston,Patricia Brown,1800 Presidents Street,Reston,VA,20190,USA,normal,General inquiry about services

